record_index,axis_mask_hex,primary_role,high_relevance
0,0000,CTX,0
1,0000,CTX,0
2,0001,CTX,0
3,0000,CTX,0
4,1200,CTX,0
5,0100,CTX,0
6,0000,CTX,0
7,0000,CTX,0
8,0000,CTX,0
9,0221,AGE,1
10,0000,CTX,0
11,0000,CTX,0
12,0000,CTX,0
13,0200,CTX,0
14,001b,AGE,1
15,0240,SYS,0
16,0201,CTX,0
17,0000,CTX,0
18,022b,AGE,1
19,0000,CTX,0
20,0040,SYS,0
21,0000,CTX,0
22,002b,AGE,1
23,0000,CTX,0
24,0211,AGE,0
25,0000,CTX,0
26,0001,CTX,0
27,002a,WAV,0
28,0217,VAGE,1
29,023f,VAGE,1
30,0000,CTX,0
31,0000,CTX,0
32,0000,CTX,0
33,0000,CTX,0
34,0013,AGE,1
35,0000,CTX,0
36,0040,SYS,0
37,000b,AGE,1
38,0000,CTX,0
39,0000,CTX,0
40,0200,CTX,0
41,0001,CTX,0
42,0000,CTX,0
43,0221,AGE,0
44,0000,CTX,0
45,0000,CTX,0
46,0000,CTX,0
47,0000,CTX,0
48,0000,CTX,0
49,0001,CTX,0
50,0040,SYS,0
51,0002,WAV,0
52,0000,CTX,0
53,001b,AGE,1
54,011b,AGE,1
55,0000,CTX,0
56,0140,SYS,0
57,0240,SYS,0
58,0040,SYS,0
59,0000,CTX,0
60,0000,CTX,0
61,0000,CTX,0
62,0000,CTX,0
63,0005,VAGE,1
64,0000,CTX,0
65,0200,CTX,0
66,0021,AGE,1
67,0911,AGE,0
68,0321,AGE,0
69,0041,SYS,0
70,0001,CTX,0
71,0001,CTX,0
72,0200,CTX,0
73,0000,CTX,0
74,0201,CTX,0
75,0213,AGE,1
76,0211,AGE,0
77,0000,CTX,0
78,0023,AGE,1
79,022b,AGE,1
80,0000,CTX,0
81,0000,CTX,0
82,0040,SYS,0
83,0b13,AGE,1
84,021b,AGE,1
85,0012,WAV,0
86,0021,AGE,0
87,0000,CTX,0
88,001b,AGE,1
89,0433,AGE,1
90,0000,CTX,0
91,0000,CTX,0
92,0000,CTX,0
93,0000,CTX,0
94,0000,CTX,0
95,0000,CTX,0
96,0400,CTX,0
97,0041,SYS,0
98,0000,CTX,0
99,0000,CTX,0
100,0000,CTX,0
101,0000,CTX,0
102,0000,CTX,0
103,0000,CTX,0
104,0401,CTX,0
105,0000,CTX,0
106,0800,CTX,0
107,0229,AGE,0
108,0000,CTX,0
109,0012,WAV,0
110,0000,CTX,0
111,0200,CTX,0
112,0000,CTX,0
113,0000,CTX,0
114,0040,SYS,0
115,0000,CTX,0
116,023b,AGE,1
117,0000,CTX,0
118,0000,CTX,0
119,0000,CTX,0
120,0500,CTX,0
121,0861,AGE,0
122,0200,CTX,0
123,0000,CTX,0
124,0240,SYS,0
125,0100,CTX,0
126,0060,SYS,0
127,0000,CTX,0
128,0001,CTX,0
129,0000,CTX,0
130,0000,CTX,0
131,0000,CTX,0
132,0200,CTX,0
133,0000,CTX,0
134,0001,CTX,0
135,0001,CTX,0
136,0000,CTX,0
137,0000,CTX,0
138,0c02,WAV,0
139,0000,CTX,0
140,0017,VAGE,1
141,0001,CTX,0
142,0121,AGE,0
143,0000,CTX,0
144,000b,AGE,1
145,0000,CTX,0
146,0240,SYS,1
147,0000,CTX,0
148,0000,CTX,0
149,0020,WAV,0
150,0060,SYS,0
151,000b,AGE,1
152,0000,CTX,0
153,0000,CTX,0
154,0111,AGE,0
155,0000,CTX,0
156,0001,CTX,0
157,0000,CTX,0
158,0000,CTX,0
159,001b,AGE,1
160,0000,CTX,0
161,0001,CTX,0
162,0473,AGE,1
163,0200,CTX,0
164,0008,WAV,0
165,0001,CTX,0
166,0000,CTX,0
167,0240,SYS,0
168,0000,CTX,0
169,0011,AGE,0
170,0020,WAV,0
171,0200,CTX,0
172,0001,CTX,0
173,0000,CTX,0
174,0000,CTX,0
175,0000,CTX,0
176,040f,VAGE,1
177,002f,VAGE,1
178,0000,CTX,0
179,0040,SYS,0
180,0040,SYS,0
181,0100,CTX,0
182,0011,AGE,0
183,0000,CTX,0
184,0021,AGE,1
185,0040,SYS,0
186,0000,CTX,0
187,0040,SYS,0
188,0011,AGE,0
189,0040,SYS,0
190,0001,CTX,0
191,0200,CTX,0
192,0a12,WAV,0
193,0000,CTX,0
194,0110,WAV,0
195,0000,CTX,0
196,0001,CTX,0
197,0000,CTX,0
198,0010,WAV,0
199,0000,CTX,0
200,0240,SYS,0
201,003b,AGE,1
202,0001,CTX,0
203,0200,CTX,0
204,0000,CTX,0
205,0000,CTX,0
206,0000,CTX,0
207,0200,CTX,0
208,0000,CTX,0
209,0000,CTX,0
210,0c33,AGE,1
211,0000,CTX,0
212,0001,CTX,0
213,0000,CTX,0
214,0000,CTX,0
215,0360,SYS,1
216,0000,CTX,0
217,0000,CTX,0
218,0000,CTX,0
219,0011,AGE,0
220,0040,SYS,0
221,0011,AGE,0
222,0000,CTX,0
223,0040,SYS,0
224,0040,SYS,0
