record_index,axis_mask_hex,primary_role,high_relevance
675,0221,AGE,0
676,0040,SYS,0
677,0040,SYS,0
678,0001,CTX,0
679,0000,CTX,0
680,0000,CTX,0
681,0011,AGE,0
682,0000,CTX,0
683,0000,CTX,0
684,0000,CTX,0
685,0000,CTX,0
686,0300,CTX,0
687,0000,CTX,0
688,0000,CTX,0
689,0400,CTX,0
690,0000,CTX,0
691,0000,CTX,0
692,0000,CTX,0
693,0000,CTX,0
694,001b,AGE,1
695,0040,SYS,1
696,0000,CTX,0
697,0211,AGE,0
698,0200,CTX,0
699,0211,AGE,0
700,0000,CTX,0
701,0000,CTX,0
702,001b,AGE,1
703,0000,CTX,0
704,0000,CTX,0
705,0200,CTX,0
706,0011,AGE,0
707,0262,SYS,0
708,0001,CTX,0
709,0000,CTX,0
710,0000,CTX,0
711,0001,CTX,0
712,1011,AGE,0
713,001b,AGE,1
714,0000,CTX,0
715,0000,CTX,0
716,0000,CTX,0
717,0000,CTX,0
718,0000,CTX,0
719,0000,CTX,0
720,0000,CTX,0
721,0000,CTX,0
722,0000,CTX,0
723,0400,CTX,0
724,0200,CTX,0
725,000b,AGE,1
726,001b,AGE,1
727,0060,SYS,0
728,0201,CTX,0
729,0040,SYS,0
730,043b,AGE,1
731,0000,CTX,0
732,0200,CTX,0
733,0040,SYS,1
734,0000,CTX,0
735,000b,AGE,1
736,0000,CTX,0
737,0100,CTX,0
738,0000,CTX,0
739,0000,CTX,0
740,0000,CTX,0
741,0121,AGE,1
742,001a,WAV,0
743,0000,CTX,0
744,0000,CTX,0
745,001b,AGE,1
746,0000,CTX,0
747,001f,VAGE,1
748,0000,CTX,0
749,0000,CTX,0
750,0440,SYS,0
751,102b,AGE,1
752,0000,CTX,0
753,0000,CTX,0
754,0000,CTX,0
755,0000,CTX,0
756,0000,CTX,0
757,0100,CTX,0
758,0200,CTX,0
759,0000,CTX,0
760,0001,CTX,0
761,0000,CTX,0
762,0000,CTX,0
763,0000,CTX,0
764,0000,CTX,0
765,0000,CTX,0
766,0000,CTX,0
767,001b,AGE,1
768,0000,CTX,0
769,0023,AGE,1
770,0000,CTX,0
771,0000,CTX,0
772,0000,CTX,0
773,1401,CTX,0
774,0000,CTX,0
775,0000,CTX,0
776,0011,AGE,0
777,0001,CTX,0
778,0000,CTX,0
779,0011,AGE,0
780,0040,SYS,0
781,0000,CTX,0
782,041b,AGE,1
783,0021,AGE,0
784,0000,CTX,0
785,0000,CTX,0
786,0000,CTX,0
787,0000,CTX,0
788,003b,AGE,1
789,0000,CTX,0
790,022b,AGE,1
791,0000,CTX,0
792,0100,CTX,0
793,0017,VAGE,1
794,0000,CTX,0
795,0011,AGE,0
796,0000,CTX,0
797,0000,CTX,0
798,0000,CTX,0
799,0000,CTX,0
800,0000,CTX,0
801,0211,AGE,0
802,0000,CTX,0
803,0000,CTX,0
804,0000,CTX,0
805,0000,CTX,0
806,0201,CTX,0
807,0000,CTX,0
808,0000,CTX,0
809,0040,SYS,0
810,0040,SYS,0
811,0000,CTX,0
812,0000,CTX,0
813,003f,VAGE,1
814,1033,AGE,1
815,0001,CTX,0
816,0012,WAV,0
817,0000,CTX,0
818,0000,CTX,0
819,0001,CTX,0
820,0229,AGE,0
821,0000,CTX,0
822,0000,CTX,0
823,0000,CTX,0
824,0000,CTX,0
825,0000,CTX,0
826,0000,CTX,0
827,0060,SYS,1
828,0000,CTX,0
829,0000,CTX,0
830,0000,CTX,0
831,0000,CTX,0
832,0000,CTX,0
833,0000,CTX,0
834,0000,CTX,0
835,0000,CTX,0
836,0000,CTX,0
837,0040,SYS,0
838,0011,AGE,0
839,0000,CTX,0
840,0000,CTX,0
841,0605,VAGE,1
842,0000,CTX,0
843,0000,CTX,0
844,0000,CTX,0
845,0000,CTX,0
846,0000,CTX,0
847,0001,CTX,0
848,0000,CTX,0
849,0100,CTX,0
850,0000,CTX,0
851,0000,CTX,0
852,0021,AGE,1
853,0001,CTX,0
854,0040,SYS,0
855,1013,AGE,1
856,0000,CTX,0
857,0211,AGE,0
858,0000,CTX,0
859,0000,CTX,0
860,0000,CTX,0
861,0040,SYS,0
862,0001,CTX,0
863,0000,CTX,0
864,0000,CTX,0
865,0000,CTX,0
866,0040,SYS,0
867,0000,CTX,0
868,0200,CTX,0
869,0140,SYS,0
870,0021,AGE,0
871,0300,CTX,0
872,0200,CTX,0
873,0240,SYS,0
874,0000,CTX,0
875,001b,AGE,1
876,0051,AGE,0
877,0000,CTX,0
878,0000,CTX,0
879,0213,AGE,1
880,0841,SYS,0
881,0801,CTX,0
882,0000,CTX,0
883,0000,CTX,0
884,0011,AGE,0
885,0080,INV,0
886,0000,CTX,0
887,001a,WAV,0
888,0000,CTX,0
