record_index,axis_mask_hex,primary_role,high_relevance
225,0011,AGE,1
226,0000,CTX,0
227,0000,CTX,0
228,0000,CTX,0
229,0000,CTX,0
230,0201,CTX,0
231,0000,CTX,0
232,003f,VAGE,1
233,0001,CTX,0
234,0221,AGE,0
235,0040,SYS,0
236,0040,SYS,0
237,0121,AGE,0
238,0000,CTX,0
239,0100,CTX,0
240,001b,AGE,1
241,0040,SYS,0
242,0000,CTX,0
243,0000,CTX,0
244,0040,SYS,0
245,0002,WAV,0
246,0140,SYS,0
247,0000,CTX,0
248,0023,AGE,1
249,0000,CTX,0
250,0000,CTX,0
251,0500,CTX,0
252,0000,CTX,0
253,001b,AGE,1
254,0100,CTX,0
255,0011,AGE,0
256,0000,CTX,0
257,0000,CTX,0
258,0000,CTX,0
259,0000,CTX,0
260,0100,CTX,0
261,0011,AGE,0
262,0240,SYS,0
263,0001,CTX,0
264,0000,CTX,0
265,0000,CTX,0
266,0000,CTX,0
267,0000,CTX,0
268,0000,CTX,0
269,0000,CTX,0
270,0200,CTX,0
271,0017,VAGE,1
272,0000,CTX,0
273,0000,CTX,0
274,0000,CTX,0
275,0000,CTX,0
276,0000,CTX,0
277,001b,AGE,1
278,0220,WAV,0
279,0000,CTX,0
280,0000,CTX,0
281,0000,CTX,0
282,0000,CTX,0
283,0221,AGE,0
284,0001,CTX,0
285,0821,AGE,0
286,0000,CTX,0
287,1041,SYS,0
288,001a,WAV,0
289,0200,CTX,0
290,0200,CTX,0
291,0000,CTX,0
292,0440,SYS,0
293,0000,CTX,0
294,0000,CTX,0
295,0000,CTX,0
296,0000,CTX,0
297,001a,WAV,0
298,0000,CTX,0
299,0000,CTX,0
300,0401,CTX,0
301,0000,CTX,0
302,0000,CTX,0
303,0000,CTX,0
304,0000,CTX,0
305,0000,CTX,0
306,0000,CTX,0
307,0221,AGE,0
308,0000,CTX,0
309,0000,CTX,0
310,0000,CTX,0
311,0000,CTX,0
312,0000,CTX,0
313,000b,AGE,1
314,0000,CTX,0
315,0002,WAV,0
316,0023,AGE,1
317,0000,CTX,0
318,0000,CTX,0
319,0000,CTX,0
320,0005,VAGE,1
321,0000,CTX,0
322,0000,CTX,0
323,0000,CTX,0
324,0000,CTX,0
325,0000,CTX,0
326,0040,SYS,0
327,003b,AGE,1
328,0100,CTX,0
329,0021,AGE,0
330,0000,CTX,0
331,0000,CTX,0
332,0000,CTX,0
333,0242,SYS,0
334,0002,WAV,0
335,0000,CTX,0
336,0013,AGE,1
337,0000,CTX,0
338,0011,AGE,0
339,0000,CTX,0
340,0000,CTX,0
341,001a,WAV,0
342,0000,CTX,0
343,0000,CTX,0
344,0200,CTX,0
345,001b,AGE,1
346,0000,CTX,0
347,0100,CTX,0
348,0000,CTX,0
349,0430,WAV,0
350,0340,SYS,0
351,0100,CTX,0
352,0000,CTX,0
353,0840,SYS,1
354,0000,CTX,0
355,0000,CTX,0
356,041f,VAGE,1
357,0000,CTX,0
358,0001,CTX,0
359,0001,CTX,0
360,0000,CTX,0
361,0000,CTX,0
362,0000,CTX,0
363,040b,AGE,1
364,0820,WAV,0
365,0000,CTX,0
366,0200,CTX,0
367,0000,CTX,0
368,001a,WAV,0
369,0000,CTX,0
370,0001,CTX,0
371,0000,CTX,0
372,0000,CTX,0
373,0000,CTX,0
374,003b,AGE,1
375,0000,CTX,0
376,0240,SYS,0
377,002f,VAGE,1
378,0000,CTX,0
379,0000,CTX,0
380,0240,SYS,0
381,0000,CTX,0
382,0000,CTX,0
383,0200,CTX,0
384,0000,CTX,0
385,0000,CTX,0
386,0000,CTX,0
387,0000,CTX,0
388,0000,CTX,0
389,0000,CTX,0
390,0040,SYS,0
391,0111,AGE,0
392,0000,CTX,0
393,0000,CTX,0
394,0001,CTX,0
395,001a,WAV,0
396,0000,CTX,0
397,0000,CTX,0
398,0010,WAV,0
399,0001,CTX,0
400,0000,CTX,0
401,0000,CTX,0
402,1200,CTX,0
403,0000,CTX,0
404,0011,AGE,0
405,0022,WAV,0
406,0008,WAV,0
407,0040,SYS,0
408,0540,SYS,1
409,0000,CTX,0
410,0000,CTX,0
411,021f,VAGE,1
412,0020,WAV,0
413,0200,CTX,0
414,0000,CTX,0
415,0001,CTX,0
416,0200,CTX,0
417,0000,CTX,0
418,0000,CTX,0
419,0000,CTX,0
420,0a33,AGE,1
421,0023,AGE,1
422,0073,AGE,1
423,0140,SYS,0
424,0000,CTX,0
425,0000,CTX,0
426,0000,CTX,0
427,0000,CTX,0
428,0200,CTX,0
429,0000,CTX,0
430,0011,AGE,0
431,00c0,INV,0
432,0240,SYS,0
433,0001,CTX,0
434,0000,CTX,0
435,0200,CTX,0
436,0000,CTX,0
437,0001,CTX,0
438,1000,CTX,0
439,0000,CTX,0
440,0000,CTX,0
441,0b0a,WAV,1
442,020b,AGE,1
443,0000,CTX,0
444,0000,CTX,0
445,0000,CTX,0
446,0000,CTX,0
447,0000,CTX,0
448,0000,CTX,0
449,0000,CTX,0
